control1	control2	control3	tumour1	tumour2	tumour3
ACACB	9.21722760865658	8.84821459525035	9.1052663676165	9.05919636084114	8.90629306455748	9.04640155600079
ACAD10	9.49635624383404	9.60295322848295	9.73595656107373	9.43089798506464	9.71149388309202	9.62844332092816
ACAD11	9.82238584167208	9.96103656483507	9.83079873416063	9.74888538896604	9.98280704196347	10.0199341082199
ACAD8	9.15690751805723	9.31135517439797	9.16290885598307	9.07962465546892	9.57169673826808	9.20983749983304
ACAD9	10.0303015147087	9.96847491325546	9.92068960990871	9.8702787394534	9.87418637027462	10.1088307870358
ACADL	3.2725764646557	3.6028521048269	3.29464933153666	2.82242050613756	4.02688553198377	1.46971945220774
ACADM	11.2472625607613	11.3748838831402	11.3838949458628	11.1657787145451	11.1873930301963	11.3592357524096
ACADS	7.82157568758015	7.50880008714197	7.33888053377565	7.8778750831962	7.20423303057632	6.55062430814173
ACADSB	9.93803983539729	9.95003265884842	9.87732106780671	9.69053832647459	9.91107474266135	10.4315591939859
ACADVL	11.772594678399	11.7416277845859	11.4812338460053	12.1514524581478	11.8934103582199	11.702969080943
ACAN	8.5171777424315	8.56172146861976	8.13412490718522	10.1204493255008	9.64448525361397	9.63613899363719
ACAP1	5.46999285809739	5.29408019830865	4.30077514176891	4.36238770157852	4.06780172464707	4.0882264992055
ACAP2	11.4947163391308	11.6198374056462	11.6116341833681	11.4184779179954	11.7965954865723	12.106466374229
ACAP3	9.32097911475912	8.82104802753059	8.19778131963329	9.11225801466723	8.87399412025849	7.66033406877227
ACAT1	11.0915500203758	11.0152296292159	11.2024850132945	11.0287482234853	11.288464810843	11.1664698009924
ACAT2	12.2545165314901	12.2779020624993	12.3447746727989	11.5794345837363	11.5028091676302	11.5202415006981
ACBD3	11.3948155202599	11.35579828572	11.1842822211852	11.1467058327759	11.1363897406387	11.3330127958845
ACBD4	7.51378797496615	7.63571306952592	7.10777222981435	7.01370632240423	7.37284633166565	6.95214895083759
ACBD5	10.6920580737075	10.5412409042399	10.6312581883644	10.4924785731205	10.671704813883	10.5796611182756
ACBD6	9.5142945570298	9.64323022572935	9.58161033211781	9.59414766748646	9.69244513695823	9.76279054626093
ACBD7	6.7916984751273	6.11593747246821	6.58105785993328	6.1045208220855	6.47482062674279	6.23389616122817
ACCS	8.88642527498828	8.9776483376805	8.65310052780131	9.07885337114414	8.97275840028968	8.88960700207816
ACCSL	3.88698855764942	4.0046177198946	3.70345366917692	3.45333517199825	3.80572002062473	3.72040121167749
ACD	6.01047254293416	6.05953056655797	5.92943156770275	5.73304617110149	5.80632339555556	4.98126805231219
ACE	1.75316366406567	2.41399735252229	1.33908576029546	3.91259284254337	3.01568062113072	3.49903628451297
ACE2	3.08720530283621	2.40924466294089	2.47698740185648	2.58648008333046	4.28840987263176	1.82894811740922
ACE3P	0	0	0	0	0	0
ACER1	0	0	1.00476877830381	0	0	0
ACER2	7.13477669205811	7.25903628863127	6.95195919029746	6.61652378805469	6.96932584741788	6.82257404821579
ACER2P1	0	0	0	0	0	0
ACER3	10.4165549672573	10.5116658236246	10.4415953532054	10.2097483030902	10.4277182770961	10.4339095047668
ACHE	2.81440776599333	2.53413029556686	2.71052936399736	2.56745917989437	0.795186621209336	1.05950597243931
ACIN1	12.1872444834999	12.2912370399892	12.1935359215859	12.229018291544	12.1145902552177	12.237539388647
ACKR1	0	0	1.00476877830381	0	0	0
ACKR2	4.44299194394356	4.90418302042425	4.14080822906364	4.70455974592476	4.06381470347609	4.45623558423005
ACKR3	0	0	0	0	0	0
ACKR4	4.23364783115507	5.25881641527046	4.70959649851939	4.89436025405954	3.79991122245399	4.6586006055417
ACKR4P1	2.30987900064274	2.81694484048303	2.00714726931563	0	2.31551735497905	0
ACLY	13.3948750779678	13.4197234153968	13.3223889106788	12.9389956377558	12.8696286974919	12.9145795192142
